type;x;y;z
MICROGLIA;78.41;17.1;1.1
MICROGLIA;-9.18;-1.32;-3.86
MICROGLIA;-8.39;-10.58;2.7
MICROGLIA;-0.39;4.31;5.49
MICROGLIA;9.19;-10.99;-12.96
MENINGE;-4.22;7.89;-4.21
MICROGLIA;-30.7;-17.91;-8.68
MENINGE;-10.66;24.76;-6.29
MENINGE;6.58;-4.1;-8.17
MENINGE;-10.35;6.0;-0.15
MENINGE;-2.79;-1.51;-9.4
MENINGE;-2.81;-3.81;-11.13
MENINGE;-3.48;-5.25;-14.42
MICROGLIA;0.7;-5.97;-4.21
MICROGLIA;-20.53;71.25;6.77
MICROGLIA;127.33;35.91;62.6
MICROGLIA;11.76;-48.36;-10.2
MICROGLIA;-4.32;-0.41;-7.59
MICROGLIA;-20.34;-6.07;-11.78
MENINGE;-0.47;6.93;7.45
MENINGE;3.69;-4.86;0.16
MICROGLIA;1.83;0.09;0.32
MENINGE;-11.95;5.08;-0.89
MENINGE;-18.08;13.27;-3.96
MICROGLIA;48.34;25.8;-25.14
MICROGLIA;-8.42;-16.19;-18.73
MICROGLIA;9.81;-15.05;-3.91
MICROGLIA;4.83;-2.63;1.22
MICROGLIA;-8.65;4.99;-35.83
MENINGE;5.23;-5.22;-8.63
MENINGE;-4.22;6.89;-5.92
MENINGE;-2.75;-0.48;-9.17
MICROGLIA;0.45;0.82;-0.49
MENINGE;16.84;-1.59;0.66
MICROGLIA;-9.37;1.27;-2.91
MICROGLIA;-17.26;6.96;-14.29
MICROGLIA;74.64;16.78;2.4
MENINGE;-5.42;6.19;-4.43
MENINGE;-15.66;-6.21;-25.28
MENINGE;-1.05;-2.98;-8.47
MENINGE;1.12;-0.43;-1.78
MICROGLIA;31.15;-24.99;14.5
MICROGLIA;-1.88;-5.24;-0.18
MICROGLIA;2.92;67.13;-18.11
MICROGLIA;-6.5;-19.32;-1.55
MENINGE;-12.53;9.51;-9.4
MICROGLIA;19.07;10.59;-7.22
MENINGE;0.05;-0.73;-0.43
MENINGE;-14.98;-0.04;-25.8
MENINGE;7.84;14.97;16.97
MENINGE;-4.05;-2.35;-9.51
MENINGE;1.44;-1.18;-1.81
MENINGE;-1.58;-3.28;-8.32
MICROGLIA;27.35;8.93;-47.71
MICROGLIA;-40.85;-45.73;-27.25
MICROGLIA;19.7;9.89;-7.41
MICROGLIA;-15.92;4.76;0.0
MICROGLIA;-5.84;3.03;0.0
MENINGE;0.33;-0.76;-8.05
MENINGE;26.37;-23.82;-30.67
MICROGLIA;8.4;6.98;5.76
MICROGLIA;-1.35;-0.47;2.14
MICROGLIA;13.26;-13.91;0.0
MICROGLIA;16.34;28.85;-13.46
MENINGE;5.63;-11.93;-10.12
MENINGE;15.86;-14.22;-22.06
MENINGE;0.26;-2.92;0.0
MICROGLIA;-0.54;-3.46;0.0
MICROGLIA;-2.21;-4.73;-2.29
MICROGLIA;-7.14;-5.1;-0.74
MICROGLIA;4.07;6.18;0.3
MICROGLIA;3.65;-2.35;-0.83
MICROGLIA;64.83;25.53;-16.96
MICROGLIA;1.03;2.83;0.97
MICROGLIA;-0.83;1.12;0.23
MICROGLIA;-2.15;2.05;3.83
MICROGLIA;-0.51;2.49;0.33
MENINGE;-0.93;-0.72;0.0
MENINGE;-0.22;0.03;0.0
MENINGE;3.03;-0.81;0.96
MICROGLIA;-2.43;0.7;1.37
MICROGLIA;-0.89;0.44;0.0
MICROGLIA;-3.28;2.26;1.88
MICROGLIA;-26.21;-32.15;-29.94
MICROGLIA;22.86;19.34;12.81
MICROGLIA;-1.38;-0.59;-1.19
MICROGLIA;0.94;0.36;0.0
MICROGLIA;-6.05;8.03;-0.8
MICROGLIA;2.18;2.87;-3.43
MICROGLIA;7.1;5.88;8.75
MICROGLIA;12.21;18.15;4.3
MENINGE;0.72;-0.78;-0.63
MENINGE;-6.15;-2.0;-6.85
MICROGLIA;51.53;43.19;-4.5
MICROGLIA;-0.07;1.92;-0.57
MICROGLIA;0.11;1.67;0.28
MICROGLIA;0.08;-1.6;-2.27
MICROGLIA;-4.87;-4.36;-2.73
MICROGLIA;1.4;-9.97;-4.62
MICROGLIA;0.57;-0.44;0.0
MICROGLIA;-10.88;1.95;-6.77
MENINGE;0.38;0.03;0.26
MICROGLIA;1.34;-0.12;-0.92
MICROGLIA;-0.57;-2.76;0.36
MICROGLIA;0.71;0.41;-0.7
MICROGLIA;0.47;0.2;-0.39
MICROGLIA;-1.49;-1.28;0.0
MICROGLIA;3.42;0.07;-0.88
MICROGLIA;60.72;17.63;-6.46
MICROGLIA;-3.51;1.28;0.0
MENINGE;0.75;1.56;-0.61
MENINGE;5.21;-4.53;-1.41
MICROGLIA;-1.22;1.12;0.02
MICROGLIA;-1.36;-3.05;2.5
MICROGLIA;-1.39;6.87;-7.55
MENINGE;-1.64;0.23;-1.05
MICROGLIA;1.15;-1.03;-0.61
MICROGLIA;0.04;1.95;0.52
MENINGE;-0.68;0.19;0.67
MICROGLIA;-0.39;0.08;0.0
MENINGE;-0.64;-1.6;0.0
MICROGLIA;2.94;-2.5;-3.94
MICROGLIA;-14.21;10.9;-7.06
MICROGLIA;0.77;0.46;1.25
MICROGLIA;-2.51;-0.26;-7.57
MENINGE;-0.08;1.05;-0.19
MENINGE;-0.36;2.23;-0.15
MENINGE;1.0;-2.73;-0.35
MENINGE;3.34;-1.04;1.57
MENINGE;1.17;-0.18;-0.26
MENINGE;-2.32;1.01;0.0
MENINGE;1.39;0.23;0.6
MENINGE;-12.82;3.47;-33.0
MICROGLIA;-6.59;-1.34;-8.14
MICROGLIA;-0.23;-1.69;-1.09
MENINGE;1.82;0.48;0.98
MICROGLIA;1.45;1.3;0.69
MENINGE;0.44;0.62;-0.39
MENINGE;-5.91;-0.2;-6.04
MICROGLIA;0.49;-3.86;-0.06
MENINGE;-1.9;-0.84;-2.12
MICROGLIA;-0.66;-1.86;0.0
MICROGLIA;4.35;-0.95;-2.62
MICROGLIA;1.38;0.59;0.27
MENINGE;-2.95;-0.55;-4.22
MICROGLIA;-4.96;-2.26;-6.17
MICROGLIA;-4.58;1.69;-11.29
MICROGLIA;0.17;5.98;-10.87
MICROGLIA;2.43;2.12;0.0
MICROGLIA;0.53;-2.05;0.0
MENINGE;-1.35;0.47;-0.05
MENINGE;1.09;-4.92;0.0
MENINGE;21.09;-9.16;-13.91
MICROGLIA;-0.52;-1.45;-1.84
MENINGE;6.25;10.01;18.25
MENINGE;-0.65;1.39;0.49
MICROGLIA;-5.15;-0.02;-0.16
MENINGE;3.33;-2.77;0.81
MICROGLIA;5.43;10.75;0.37
MENINGE;-0.13;0.0;0.7
MENINGE;5.66;-3.16;0.0
MICROGLIA;2.41;0.44;-0.02
MENINGE;-0.33;-1.08;1.04
